id,name,description,hasValue,longText,shortText,type
command-vox,Command Vox,Advanced communication system for coordinating battlefield operations,,"Command Vox represents an advanced communication system that allows this unit to coordinate battlefield operations with enhanced efficiency. Units with this rule can communicate with other friendly units over greater distances, coordinate complex tactical maneuvers, and relay critical battlefield intelligence. The Command Vox system provides secure, encrypted communications that cannot be easily intercepted by enemy forces, making it essential for command and control operations.",This unit has enhanced communication capabilities for battlefield coordination.,wargear
augury-scanner,Augury Scanner,Advanced sensor system for detecting hidden enemies and threats,,"Augury Scanner represents an advanced sensor system that can detect hidden enemies, concealed threats, and other battlefield hazards that would normally be invisible to standard detection methods. Units with this rule can identify enemy units in cover, detect ambushes, and locate hidden objectives or resources. The Augury Scanner provides enhanced situational awareness and can reveal enemy movements that would otherwise go unnoticed.",This unit can detect hidden enemies and threats with advanced sensors.,wargear
auxilia-vexilla,Auxilia Vexilla,Standard bearer carrying the banner of the Solar Auxilia,,"Auxilia Vexilla represents a standard bearer carrying the banner of the Solar Auxilia. This sacred banner serves as a rallying point for nearby friendly units, providing morale bonuses and tactical coordination. The presence of the banner inspires nearby troops and helps maintain unit cohesion during combat. The Auxilia Vexilla can only be carried by one model in a unit, and its presence provides benefits to the entire formation.","This unit carries the banner of the Solar Auxilia, providing morale and tactical bonuses.",wargear
cohorts-vexilla,Cohorts Vexilla,Elite standard bearer carrying the banner of the cohort,,"Cohorts Vexilla represents an elite standard bearer carrying the sacred banner of the cohort. This prestigious banner is a symbol of the cohort's honor and tradition, providing enhanced morale bonuses and tactical coordination compared to standard banners. The presence of the Cohorts Vexilla inspires nearby troops to greater acts of valor and helps maintain unit cohesion even in the most desperate situations. Only one model in a unit can carry this elite banner.","This unit carries the elite banner of the cohort, providing enhanced morale and tactical bonuses.",wargear
artillery-tercio-commander,Artillery Tercio Commander,Special ability to command Artillery Tercio detachments,,"Artillery Tercio Commander is a special ability that allows this unit to trigger Artillery Tercio detachments. These specialized artillery detachments can only be commanded by units with this ability, representing their specialized training and equipment for coordinating artillery fire support operations. The Artillery Tercio Commander has access to unique tactical options and can coordinate specialized artillery assets for devastating long-range bombardment.",This unit can trigger Artillery Tercio detachments.,special-rule
armour-tercio-commander,Armour Tercio Commander,Special ability to command Armour Tercio detachments,false,"Armour Tercio Commander is a special ability that allows this unit to trigger Armour Tercio detachments. These specialized armored detachments can only be commanded by units with this ability, representing their specialized training and equipment for coordinating armored warfare operations. The Armour Tercio Commander has access to unique tactical options and can coordinate specialized armored assets for devastating tank assaults and armored breakthroughs.",This unit can trigger Armour Tercio detachments.,special-rule
independent-character,Independent Character,This unit can operate independently and join other units,false,"Independent Character represents units that can operate independently on the battlefield and have the ability to join other units. These characters are typically officers, heroes, or special individuals who can provide leadership and support to nearby units. Independent Characters can move freely around the battlefield and join or leave units as needed, providing tactical flexibility and command bonuses.",This unit can operate independently and join other units.,special-rule
stubborn,Stubborn,This unit is particularly difficult to break in combat,false,"Stubborn represents units that are particularly difficult to break in combat, maintaining their resolve even when outnumbered or taking heavy casualties. These units have enhanced morale and are less likely to flee from battle. Stubborn units are often veterans, elite troops, or units with strong leadership who refuse to give ground even in the face of overwhelming odds.",This unit is particularly difficult to break in combat.,special-rule
line,Line,This unit can form a defensive line with enhanced capabilities,true,"Line represents the ability of a unit to form a defensive line with enhanced capabilities. Units with this rule can coordinate their defensive efforts, providing mutual support and creating a more effective defensive position. The Line rule allows units to work together to create a cohesive defensive formation that is greater than the sum of its parts. This ability is particularly valuable for infantry units that need to hold ground against enemy assaults.",This unit can form a defensive line with enhanced capabilities.,special-rule
pistol,Pistol,This weapon can be used in close combat,false,"Pistol represents weapons that can be used in close combat situations. These weapons are compact and designed for use at very close range, allowing the wielder to fire them even when engaged in melee combat. Pistols are particularly useful for characters and units that may find themselves in close quarters situations.",This weapon can be used in close combat.,special-rule
breaching,Breaching,This weapon is particularly effective against armored targets,true,"Breaching represents weapons that are particularly effective against armored targets, fortified positions, and other heavily protected enemies. These weapons have enhanced armor penetration capabilities and can bypass or overcome defensive measures that would stop lesser weapons. Breaching weapons are essential for dealing with heavily armored enemies and fortified positions.",This weapon is particularly effective against armored targets.,special-rule
critical-hit,Critical Hit,This weapon has enhanced critical hit capabilities,true,"Critical Hit represents weapons that have enhanced critical hit capabilities, allowing them to cause devastating damage on successful critical hits. These weapons are particularly effective at bypassing armor and causing massive damage when they strike true. Critical Hit weapons are often master-crafted or have special properties that make them more lethal than standard weapons.",This weapon has enhanced critical hit capabilities.,special-rule
close-order,Close Order,This model can maintain close formation with other models,true,"Close Order represents the ability of a model to maintain close formation with other models, allowing for enhanced coordination and tactical flexibility. Models with this rule can work together more effectively in tight formations, providing mutual support and creating more cohesive fighting units. This ability is particularly valuable for command models and leaders who need to coordinate with nearby troops.",This model can maintain close formation with other models.,special-rule
hold-the-line,Hold the Line,This model can maintain defensive positions with enhanced resolve,true,"Hold the Line represents the ability of a model to maintain defensive positions with enhanced resolve and determination. Models with this rule are particularly effective at holding ground and resisting enemy assaults, even when outnumbered or under heavy pressure. This ability is especially valuable for command models and leaders who need to inspire their troops to stand firm in the face of overwhelming odds.",This model can maintain defensive positions with enhanced resolve.,special-rule
deflagrate,Deflagrate,This weapon can cause additional damage through deflagration,true,"Deflagrate represents the ability of a weapon to cause additional damage through deflagration effects. When this weapon successfully wounds a target, it can potentially cause additional damage or effects beyond the normal damage. This ability is particularly effective against certain types of targets and can be devastating when used properly.",This weapon can cause additional damage through deflagration.,special-rule
