description,id,maxCount,name,options,points,requiresUpgrade,targetModel,targetModelType,targetModels,type
The Legatine Marshall can replace their Charnabal Sabre with a different weapon.,legatine-marshall-weapon-upgrade,1,Legatine Marshall Weapon Upgrade,"[{""id"":""power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Sabre with a Power Sword"",""points"":5,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-sword""},{""id"":""power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Sabre with a Power Fist"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-fist""},{""id"":""paragon-blade-option"",""name"":""Paragon Blade"",""description"":""Replace Charnabal Sabre with a Paragon Blade"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""paragon-blade""},{""id"":""thunder-hammer-option"",""name"":""Thunder Hammer"",""description"":""Replace Charnabal Sabre with a Thunder Hammer"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""thunder-hammer""}]",,,,legatine-marshall-model,,weapon
Add up to 5 additional Lifeward models to the unit.,additional-lifewards-upgrade,5,Additional Lifewards,"[{""id"":""additional-lifeward-option"",""name"":""Additional Lifeward"",""description"":""Add one Lifeward model to the unit"",""points"":14}]",,,lifeward-model,,,model-count
Any Lifeward can replace their Lasrifle with a Charnabal Sabre and Laspistol.,lifeward-weapon-upgrade,dependent,Lifeward Weapon Upgrade,"[{""id"":""charnabal-laspistol-option"",""name"":""Charnabal Sabre and Laspistol"",""description"":""Replace Lasrifle with Charnabal Sabre and Laspistol"",""points"":0,""weaponReplacements"":[{""replaceWeapon"":""lasrifle"",""addWeapon"":""charnabal-sabre""},{""replaceWeapon"":""lasrifle"",""addWeapon"":""laspistol""}]}]",,,,lifeward-model,,weapon
Any Lifeward with a Charnabal Sabre can replace it with a different weapon.,lifeward-sabre-upgrade,dependent,Lifeward Sabre Upgrade,"[{""id"":""lifeward-power-sword-option"",""name"":""Power Sword"",""description"":""Replace Charnabal Sabre with a Power Sword"",""points"":5,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-sword""},{""id"":""lifeward-power-fist-option"",""name"":""Power Fist"",""description"":""Replace Charnabal Sabre with a Power Fist"",""points"":10,""replaceWeapon"":""charnabal-sabre"",""addWeapon"":""power-fist""}]",,lifeward-weapon-upgrade,,lifeward-model,,weapon
The Legatine Marshall can replace their Las Pistol with a different pistol weapon.,legatine-marshall-pistol-upgrade,1,Legatine Marshall Pistol Upgrade,"[{""id"":""plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Las Pistol with a Plasma Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""plasma-pistol""},{""id"":""volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Las Pistol with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""volkite-serpenta""},{""id"":""inferno-pistol-option"",""name"":""Inferno Pistol"",""description"":""Replace Las Pistol with an Inferno Pistol"",""points"":10,""replaceWeapon"":""laspistol"",""addWeapon"":""inferno-pistol""},{""id"":""archaeotech-pistol-option"",""name"":""Archaeotech Pistol"",""description"":""Replace Las Pistol with an Archaeotech Pistol"",""points"":10,""replaceWeapon"":""laspistol"",""addWeapon"":""archaeotech-pistol""},{""id"":""needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Las Pistol with a Needle Pistol"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""needle-pistol""},{""id"":""blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Las Pistol with a Blast Pistol"",""points"":3,""replaceWeapon"":""laspistol"",""addWeapon"":""blast-pistol""},{""id"":""hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Las Pistol with a Hand Flamer"",""points"":5,""replaceWeapon"":""laspistol"",""addWeapon"":""hand-flamer""}]",,,,legatine-marshall-model,,weapon
Lifewards can replace their Lasrifle with a different pistol weapon.,lifeward-pistol-upgrade,dependent,Lifeward Pistol Upgrade,"[{""id"":""lifeward-plasma-pistol-option"",""name"":""Plasma Pistol"",""description"":""Replace Lasrifle with a Plasma Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""plasma-pistol""},{""id"":""lifeward-volkite-serpenta-option"",""name"":""Volkite Serpenta"",""description"":""Replace Lasrifle with a Volkite Serpenta"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""volkite-serpenta""},{""id"":""lifeward-needle-pistol-option"",""name"":""Needle Pistol"",""description"":""Replace Lasrifle with a Needle Pistol"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""needle-pistol""},{""id"":""lifeward-blast-pistol-option"",""name"":""Blast Pistol"",""description"":""Replace Lasrifle with a Blast Pistol"",""points"":3,""replaceWeapon"":""lasrifle"",""addWeapon"":""blast-pistol""},{""id"":""lifeward-hand-flamer-option"",""name"":""Hand Flamer"",""description"":""Replace Lasrifle with a Hand Flamer"",""points"":5,""replaceWeapon"":""lasrifle"",""addWeapon"":""hand-flamer""}]",,,,lifeward-model,,weapon
Lifewards with Lasrifles can add bayonets for close combat.,lifeward-bayonet-upgrade,dependent,Lifeward Bayonet Upgrade,"[{""id"":""bayonet-option"",""name"":""Bayonet"",""description"":""Add a Bayonet to a Lasrifle"",""points"":1,""addWeapon"":""bayonet""}]",,,,lifeward-model,,weapon
Lifewards with Lasrifles can add blast chargers for enhanced firepower.,lifeward-blast-charger-upgrade,dependent,Lifeward Blast Charger Upgrade,"[{""id"":""blast-charger-option"",""name"":""Blast Charger"",""description"":""Add a Blast Charger to a Lasrifle"",""points"":1,""addWeapon"":""blast-charger""}]",,,,lifeward-model,,weapon
One Lifeward in the unit may have a Command Vox for enhanced communications.,lifeward-command-vox-upgrade,1,Lifeward Command Vox Upgrade,"[{""id"":""command-vox-option"",""name"":""Command Vox"",""description"":""Add a Command Vox to one Lifeward"",""points"":10,""addWargear"":""command-vox""}]",,,,lifeward-model,,wargear
One Lifeward in the unit may have an Augury Scanner for enhanced detection.,lifeward-augury-scanner-upgrade,1,Lifeward Augury Scanner Upgrade,"[{""id"":""augury-scanner-option"",""name"":""Augury Scanner"",""description"":""Add an Augury Scanner to one Lifeward"",""points"":10,""addWargear"":""augury-scanner""}]",,,,lifeward-model,,wargear
