id,name,type,description,range,firepower,rangedStrength,ap,damage,attackModifier,strengthModifier,initiativeModifier,specialRules,specialRuleValues,traits,profiles
bolt-pistol,Bolt pistol,ranged,SPESS MEHREEN,12,1,4,5,1,,,,"[""pistol""]",,"[""Assault"",""Bolt""]",
bolter,Bolter,ranged,SPESS MEHREEN,24,2,4,5,1,,,,,,"[""Bolt""]",
twin-bolter,Twin bolter,ranged,SPESS MEHREEN,24,4,4,5,1,,,,,,"[""Bolt""]",
combi-bolter,Combi bolter,ranged,SPESS MEHREEN,24,4,4,5,1,,,,,,"[""Bolt""]",
kraken-bolter,Kraken bolter,ranged,SPESS MEHREEN,30,2,4,4,1,,,,"[""precision"",""shot-selector""]","{""precision"":4}","[""Bolt""]",
nemesis-bolter,Nemesis bolter,ranged,SPESS MEHREEN,48,1,4,5,1,,,,"[""heavy"",""breaching"",""pinning"",""precision""]","{""heavy"":""RS"",""breaching"":5,""pinning"":1,""precision"":4}","[""Bolt""]",
twin-heavy-bolter,Twin heavy bolter,ranged,SPESS MEHREEN,36,6,5,4,1,,,,,,"[""Bolt""]",
gravis-bolt-cannon,Gravis bolt cannon,ranged,SPESS MEHREEN,36,6,5,4,1,,,,"[""heavy""]","{""heavy"":5}","[""Bolt""]",
twin-avenger-bolt-cannon,Twin avenger bolt cannon,ranged,SPESS MEHREEN,36,10,6,3,2,,,,"[""suppressive""]","{""suppressive"":2}","[""Bolt""]",
flamer-secondary,Flamer (secondary),ranged,SPESS MEHREEN,Template,1,4,5,1,,,,"[""template"",""panic"",""limited"",""combi""]","{""panic"":1,""limited"":1}","[""Flame""]",
meltagun-secondary,Meltagun (secondary),ranged,SPESS MEHREEN,12,1,8,2,3,,,,"[""melta"",""limited"",""combi""]","{""melta"":6,""limited"":1}","[""Melta""]",
plasma-gun-secondary,Plasma gun (secondary),ranged,SPESS MEHREEN,24,2,6,4,1,,,,"[""breaching"",""limited"",""combi""]","{""breaching"":6,""limited"":1}","[""Plasma""]",
volkite-charger-secondary,Volkite charger (secondary),ranged,SPESS MEHREEN,15,2,5,5,1,,,,"[""deflagrate"",""combi""]","{""deflagrate"":5}","[""Volkite""]",
grenade-launcher-secondary,Grenade launcher (secondary),ranged,SPESS MEHREEN,24,1,6,4,2,,,,"[""combi""]",,,
disintegrator-secondary,Disintegrator (secondary),ranged,SPESS MEHREEN,24,1,4,3,2,,,,"[""overload"",""limited"",""combi""]","{""overload"":1,""limited"":1}","[""Disintegrator""]",
graviton-secondary,Graviton gun (secondary),ranged,SPESS MEHREEN,18,1,6,4,1,,,,"[""blast"",""breaching"",""shock"",""pinning"",""limited"",""combi""]","{""blast"":3,""breaching"":6,""shock"":""Pinned"",""pinning"":1,""limited"":1}","[""Graviton""]",
