id,name,type,description,range,firepower,rangedStrength,ap,damage,attackModifier,strengthModifier,initiativeModifier,specialRules,specialRuleValues,traits,profiles
grenade-harness,Grenade harness,ranged,terminator grenade harness,6,1,5,6,1,,,,"[""blast"",""limited""]","{""blast"":3,""limited"":1}","[]",
lascutter,Lascutter,ranged,Weld his face open,8,1,10,2,2,,,,"[""ordnance"",""armourbane""]","{""ordnance"":""D""}","[]",
flamer,Flamer,ranged,Basic flamer weapon,Template,1,4,5,1,,,,"[""template"",""panic""]","{""panic"":1}","[""Flame""]",
twin-heavy-flamer,Twin heavy flamer,ranged,Double the bbq,Template,1,5,4,1,,,,"[""template"",""panic""]","{}","[""Flame""]",
flamestorm-cannon,Flamestorm cannon,ranged,Tank flamer,Template,1,6,4,2,,,,"[""template"",""panic""]","{""panic"":2}","[""Flame""]",
photonic-incinerator,Photonic Incinerator,ranged,Photonic incinerator?,Template,1,6,4,1,,,,"[""template"",""panic""]","{""panic"":2}","[""Assault"",""Flame""]",
lascannon-array,Lascannon array,ranged,Spartan sponson,48,2,9,2,3,,,,"[""armourbane""]","{}","[""Las""]",
arachnus-heavy-lascannon-battery,Arachnus heavy lascannon battery,ranged,Turret lascannon,48,2,9,2,4,,,,"[""heavy"",""armourbane"",""skyfire""]","{""heavy"":""RS""}","[""Las""]",
laser-destroyer,Laser destroyer,ranged,Heavy artillery laser,36,2,10,2,2,,,,"[""heavy"",""armourbane""]","{""heavy"":""D""}","[""Las""]",
magna-laser-destroyer,Magna Laser Destroyer,ranged,Laser destroyer,36,2,10,2,3,,,,"[""ordnance"",""armourbane""]","{""ordnance"":""D""}","[""Las""]",
neutron-blaster,Neutron blaster,ranged,neutron blaster for sabres,24,1,9,2,3,,,,"[""ordnance"",""shock"",""overload""]","{""ordnance"":""D"",""shock"":""Suppressed"",""overload"":1}","[""Las""]",
neutron-laser-battery,Neutron laser battery,ranged,Neutron,72,3,10,2,3,,,,"[""ordnance"",""shock"",""armourbane"",""overload""]","{""ordnance"":""D"",""shock"":""Suppressed"",""overload"":1}","[""Las""]",
neutron-wave-cannon,Neutron-wave cannon,ranged,Heaviest neutron,120,2,12,2,4,,,,"[""ordnance"",""armourbane"",""shock""]","{""ordnance"":""D"",""shock"":""Stunned""}","[""Las""]",
turbo-laser-destructor,Turbo-laser destructor,ranged,Turbo,96,1,12,2,6,,,,"[""blast"",""armourbane""]","{""blast"":3}","[""armourbane""]",
