id,name,type,description,range,firepower,rangedStrength,ap,damage,attackModifier,strengthModifier,initiativeModifier,specialRules,specialRuleValues,traits,profiles
morbus-he-shell,HE,ranged-profile,Heavy HE shell for anti-infantry work,36,1,9,4,1,,,,"[""ordnance"",""blast"",""barrage"",""breaching"",""pinning""]","{""ordnance"":""D"",""blast"":5,""barrage"":2,""breaching"":6,""pinning"":1}","[]",
morbus-phosphex-shell,Phosphex Shell,ranged-profile,Incendiary Shell,24,1,5,3,1,,,,"[""blast"",""barrage"",""poisoned"",""panic"",""breaching""]","{""blast"":5,""barrage"":1,""poisoned"":3,""panic"":3,""breaching"":5}","[""Phosphex""]",
phosphex-canister-shot,Phosphex Canister Shot,ranged-profile,Incendiary canister shot,24,1,5,3,1,,,,"[""blast"",""barrage"",""poisoned"",""panic"",""breaching""]","{""blast"":3,""barrage"":1,""poisoned"":3,""panic"":3,""breaching"":5}","[""Phosphex""]",
dreadhammer-siege-cannon,Dreadhammer Siege Cannon,ranged,Heavy siege weapon,24,1,12,3,3,,,,"[""ordnance"",""blast"",""breaching"",""stun""]","{""ordnance"":""D"",""blast"":5,""breaching"":5,""stun"":1}","[]",
meltagun,Meltagun,ranged,Basic melta gun,12,1,8,2,3,,,,"[""melta""]","{""melta"":6}","[""Melta""]",
multi-melta,Multi-melta,ranged,Heavy melta weapon,24,1,8,2,3,,,,"[""heavy"",""melta""]","{""heavy"":""RS"",""melta"":8}","[""Melta""]",
twin-multi-melta,Twin Multi-Melta,ranged,Twin multi-melta,24,1,9,2,3,,,,"[""heavy"",""melta""]","{""heavy"":""RS"",""melta"":8}","[""Melta""]",
gravis-melta-cannon,Gravis Melta Cannon,ranged,Heavier melta cannon,24,1,9,2,4,,,,"[""heavy"",""melta""]","{""heavy"":""RS"",""melta"":8}","[""Melta""]",
magna-melta-cannon,Magna Melta Cannon,ranged,Tank mounted melta,36,1,9,2,4,,,,"[""heavy"",""melta""]","{""heavy"":""RS"",""melta"":12}","[""Melta""]",
cyclonic-melta-lance,Cyclonic Melta Lance,ranged,Leviathan borne melta weapon,12,3,8,2,4,,,,"[""heavy"",""melta""]","{""heavy"":""RS"",""melta"":8}","[""Melta""]",
siege-melta-array,Siege Melta Array,ranged,Siege melta gun,12,1,10,2,4,,,,"[""heavy"",""blast"",""melta""]","{""heavy"":""RS"",""blast"":5,""melta"":6}","[""Melta""]",
melta-cutters,Melta Cutters,ranged,Melta cutters,6,1,8,2,3,,,,"[""heavy"",""blast"",""melta""]","{""heavy"":""RS"",""blast"":3,""melta"":3}","[""Melta""]",
melta-blast-gun,Melta blast-gun,ranged,Boarding melta cannon,36,2,9,2,4,,,,"[""heavy"",""melta""]","{""heavy"":""RS"",""melta"":24}","[""Melta""]",
sentry-melta-array,Sentry Melta Array,ranged,Turret melta weapon,18,2,8,2,2,,,,"[""heavy"",""melta""]","{""heavy"":""RS"",""melta"":8}","[""Melta""]",
