id,name,type,description,range,firepower,rangedStrength,ap,damage,attackModifier,strengthModifier,initiativeModifier,specialRules,specialRuleValues,traits,profiles
frag-missile,Frag,ranged,Frag missile,48,1,4,6,1,,,,"[""heavy"",""blast""]","{""heavy"":""RS"",""blast"":3}","[""Missile""]",
krak-missile,Krak,ranged,krak missile,48,1,8,3,1,,,,"[""heavy""]","{""heavy"":""D""}","[""Missile""]",
flak-missile,Flak,ranged,flak missile,48,1,8,4,1,,,,"[""heavy"",""skyfire""]","{""heavy"":""D""}","[""Missile""]",
vengeance-launcher,Vengeance Launcher,ranged,Air launched anti-personnel weapon,48,1,7,4,1,,,,"[""blast""]","{""blast"":5}","[""Missile""]",
havoc-launcher,Havoc Launcher,ranged,Multiple rocket launcher mounted on lighter vehicles,48,1,5,5,1,,,,"[""blast"",""stun""]","{""blast"":3,""stun"":1}","[""Missile""]",
hellstrike-missile,Hellstrike missile,ranged,Heavy AT missile,48,1,9,3,3,,,,"[""armourbane"",""limited""]","{""limited"":1}","[""Guided Missile""]",
deathstorm-missile-launcher,Deathstorm missile launcher,ranged,Drop pod launch anti-personnel missile,18,3,6,4,1,,,,"[""pinning""]","{""pinning"":1}","[""Missile""]",
kharybdis-missile-launcher,Kharybdis Missile Launcher,ranged,Kharybdis missile system,18,5,6,4,1,,,,"[""pinning""]","{""pinning"":1}","[""Missile""]",
rotary-missile-launcher,Rotary Missile Launcher,ranged,Xiphon missile,48,3,8,2,2,,,,"[]","{}","[""Missile""]",
sabre-missile,Sabre Missile,ranged,Sabre one time missile,36,1,7,4,2,,,,"[""breaching"",""limited""]","{""breaching"":6,""limited"":1}","[""Missile""]",
tempest-rocket,Tempest Rocket,ranged,Air launched light armour killing missile,48,1,7,4,3,,,,"[""armourbane"",""limited""]","{""limited"":1}","[""Guided Missile""]",
aiolos-missile-launcher,Aiolos Missile Launcher,ranged,Deredeo missile weapon,60,1,6,4,1,,,,"[""heavy"",""blast"",""barrage""]","{""heavy"":""FP"",""blast"":3,""barrage"":1}","[""Missile""]",
boreas-air-defence-missile,Boreas air defence missile,ranged,Anti air deredeo missile,48,1,8,2,3,,,,"[""limited"",""skyfire"",""rapid-tracking""]","{""limited"":1}","[""Missile""]",
spicula-rocket-system,Spicula rocket system,ranged,missile spam,72,1,7,4,1,,,,"[""blast"",""barrage"",""suppressive""]","{""blast"":7,""barrage"":2,""suppressive"":1}","[""Missile""]",
arcus-warheads,Arcus warheads,ranged,Heavy missiles,36,5,8,2,2,,,,"[]","{}","[""Missile""]",
skyspear-warheads,Skyspear warheads,ranged,Anti air missile,36,3,8,2,2,,,,"[""skyfire"",""armourbane"",""rapid-tracking""]","{}","[""Missile""]",
pyrax-warheads,Pyrax warheads,ranged,Suppressive missile,36,1,5,4,1,,,,"[""blast"",""panic""]","{""blast"":5,""panic"":1}","[""Missile""]",
neutron-flux-warheads,Neutron-flux warheads,ranged,anti-automata warhead,36,3,7,4,1,,,,"[""shock""]","{""shock"":""Suppressed""}","[""Missile""]",
cyclone-frag-missile,Frag,ranged,Frag missile,48,1,4,6,1,,,,"[""heavy"",""blast""]","{""heavy"":""RS"",""blast"":5}","[""Missile""]",
cyclone-krak-missile,Krak,ranged,AT missile,48,2,8,3,1,,,,"[""heavy""]","{""heavy"":""D""}","[""Missile""]",
cyclone-flak-missile,Flak,ranged,Anti-Air missile,48,2,8,4,1,,,,"[""heavy"",""skyfire""]","{""heavy"":""D""}","[""Missile""]",
scorpius-missile-launcher,Scorpius missile launcher,ranged,Heavy infantry killer,48,1,8,4,1,,,,"[""heavy"",""blast"",""barrage"",""breaching""]","{""heavy"":""FP"",""blast"":3,""barrage"":2,""breaching"":5}","[""Missile""]",
hyperios-missile-launcher,Hyperios missile launcher,ranged,Anti-air missile,48,3,7,3,2,,,,"[""skyfire"",""rapid-tracking""]","{}","[""Missile""]",
orias-frag-missile,Orias frag missile,ranged,Orias missile,48,1,6,5,1,,,,"[""barrage"",""blast"",""limited""]","{""barrage"":3,""blast"":5,""limited"":1}","[""Missile""]",
