id,name,type,description,range,firepower,rangedStrength,ap,damage,attackModifier,strengthModifier,initiativeModifier,specialRules,specialRuleValues,traits,profiles
overcharged-plasma-pistol,Overcharged plasma pistol,ranged-profile,Plasma shooty shooty,12,3,8,4,1,,,,"[""pistol"",""breaching"",""overload""]","{""breaching"":4,""overload"":1}","[""Assault"",""Plasma""]","[]"
plasma-gun-sustained-fire,Sustained fire,ranged-profile,Plasma shooty shooty,24,2,6,4,1,,,,"[""breaching""]","{""breaching"":6}","[""Plasma""]","[]"
plasma-gun-maximal-fire,Maximal fire,ranged-profile,Plasma shooty shooty,24,2,7,4,1,,,,"[""breaching"",""overload""]","{""breaching"":5,""overload"":1}","[""Plasma""]","[]"
twin-plasma-gun-sustained-fire,Sustained fire,ranged-profile,Plasma shooty shooty,24,2,6,4,1,,,,"[""breaching""]","{""breaching"":5}","[""Plasma""]","[]"
twin-plasma-gun-maximal-fire,Maximal fire,ranged-profile,Plasma shooty shooty,24,2,7,4,1,,,,"[""breaching"",""overload""]","{""breaching"":4}","[""Plasma""]","[]"
plasma-bombard-sustained-fire,Sustained fire,ranged-profile,Plasma shooty shooty,24,1,6,4,1,,,,"[""blast"",""barrage"",""breaching""]","{""blast"":3,""breaching"":6,""barrage"":1}","[""Plasma""]","[]"
plasma-bombard-maximal-fire,Maximal fire,ranged-profile,Plasma shooty shooty,24,1,7,4,1,,,,"[""blast"",""barrage"",""breaching"",""overload""]","{""blast"":3,""barrage"":1,""breaching"":5,""overload"":2}","[""Plasma""]","[]"
heavy-plasma-bombard-sustained-fire,Sustained fire,ranged-profile,Plasma shooty shooty,36,1,7,4,2,,,,"[""blast"",""barrage"",""breaching""]","{""blast"":5,""barrage"":1,""breaching"":6}","[""Plasma""]","[]"
heavy-plasma-bombard-maximal-fire,Maximal fire,ranged-profile,Plasma shooty shooty,36,1,8,4,2,,,,"[""blast"",""barrage"",""breaching"",""overload""]","{""blast"":5,""barrage"":1,""breaching"":5,""overload"":1}","[""Plasma""]","[]"
plasma-cannon-sustained-fire,Sustained fire,ranged-profile,Plasma shooty shooty,36,1,6,4,1,,,,"[""heavy"",""blast"",""breaching""]","{""heavy"":""RS"",""blast"":3,""breaching"":6}","[""Plasma""]","[]"
